update,steps,avg100,ppo_loss,policy_loss,value_loss,entropy,eval_mean,eval_std
1,2048,15.0,37.42233726978302,-0.01713924469659105,74.89257984161377,0.6813287504017354,60.0,19.809088823063014
2,4096,25.0,44.059915685653685,-0.016373687935993076,88.16585569381714,0.6638466157019138,157.8,24.907027120874943
3,6144,25.333333333333332,69.4457552909851,-0.00935348536586389,138.9231614112854,0.6471730478107929,nan,nan
4,8192,23.75,76.69096755981445,-0.0097356959246099,153.41389389038085,0.6243553273379803,500.0,0.0
5,10240,23.05,80.41035451889039,-0.009959915711078793,160.85275955200194,0.6065099328756333,nan,nan
6,12288,22.791666666666668,88.3172197341919,-0.006120119558181614,176.65881938934325,0.6069412618875504,500.0,0.0
7,14336,22.964285714285715,89.05214586257935,-0.006134987715631724,178.12882537841796,0.6132144153118133,nan,nan
8,16384,22.84375,89.66777601242066,-0.0032723858137615027,179.3541172027588,0.6010100983083249,500.0,0.0
9,18432,22.38888888888889,93.9426983833313,-0.0034681798599194734,187.90446853637695,0.6067582905292511,nan,nan
10,20480,22.425,85.77303996086121,-0.005941983789671213,171.56999826431274,0.6016465999186039,442.8,57.82006572116639
11,22528,22.431818181818183,106.02377700805664,-0.0025324117916170506,212.0646541595459,0.6017652794718742,nan,nan
12,24576,21.895833333333332,95.92948617935181,-0.004408649634569883,191.87944736480713,0.5828377991914749,500.0,0.0
13,26624,21.384615384615383,91.75695295333863,-0.0028379843570291996,183.53082599639893,0.5622017785906792,nan,nan
14,28672,21.142857142857142,127.25116510391236,-0.003177468478679657,254.51925144195556,0.5281625278294086,500.0,0.0
15,30720,21.033333333333335,97.371240234375,-0.0028074302535969764,194.75894050598146,0.5422402486205101,nan,nan
16,32768,21.078125,92.87380523681641,-0.0029598045512102544,185.76431217193604,0.5391363814473152,500.0,0.0
17,34816,20.705882352941178,110.77867641448975,-0.0060713296348694715,221.58021545410156,0.5359887458384037,nan,nan
18,36864,21.23611111111111,66.91480431556701,-0.002903044759295881,133.84705390930176,0.581965760141611,500.0,0.0
19,38912,21.07894736842105,91.27935075759888,-0.0043486954120453445,182.5783603668213,0.5480282597243786,nan,nan
20,40960,21.4625,53.771644711494446,-0.003977869835216552,107.56251468658448,0.5634819403290748,500.0,0.0
21,43008,21.0,57.871551513671875,-0.005111801950260997,115.76465330123901,0.5663060821592808,nan,nan
22,45056,20.78409090909091,93.51567273139953,-0.005863522284198552,187.05413808822632,0.5532896414399147,500.0,0.0
23,47104,20.891304347826086,54.665364789962766,-0.0028862322331406178,109.34793586730957,0.5717424221336842,nan,nan
24,49152,21.0625,99.63785152435302,-0.004852637625299394,199.29620857238768,0.5400455713272094,500.0,0.0
25,51200,20.87,76.1203845500946,-0.006802532903384418,152.26552906036378,0.557703647017479,nan,nan
26,53248,21.31,53.18478407859802,-0.0022737561259418724,106.38531684875488,0.5600454159080982,500.0,0.0
27,55296,20.99,94.90654063224792,-0.00563327157869935,189.8357276916504,0.5689480163156986,nan,nan
28,57344,21.14,84.76064419746399,-0.007478525012265891,169.5478925704956,0.5824012793600559,449.5,6.5612498809297
