episode,reward,avg100,loss,epsilon,eval_mean,eval_std
1,11.0,11.0,nan,0.999967,9.5,0.5
2,18.0,14.5,nan,0.999934,nan,nan
3,10.0,13.0,nan,0.999901,nan,nan
4,15.0,13.5,nan,0.999868,nan,nan
5,20.0,14.8,nan,0.999835,nan,nan
6,26.0,16.666666666666668,nan,0.999802,nan,nan
7,18.0,16.857142857142858,nan,0.999769,nan,nan
8,17.0,16.875,nan,0.999736,nan,nan
9,14.0,16.555555555555557,nan,0.999703,nan,nan
10,23.0,17.2,nan,0.99967,nan,nan
11,18.0,17.272727272727273,nan,0.999637,nan,nan
12,12.0,16.833333333333332,nan,0.999604,nan,nan
13,15.0,16.692307692307693,nan,0.999571,nan,nan
14,18.0,16.785714285714285,nan,0.999538,nan,nan
15,12.0,16.466666666666665,nan,0.999505,nan,nan
16,16.0,16.4375,nan,0.999472,nan,nan
17,12.0,16.176470588235293,nan,0.999439,nan,nan
18,21.0,16.444444444444443,nan,0.999406,nan,nan
19,24.0,16.842105263157894,nan,0.999373,nan,nan
20,17.0,16.85,nan,0.99934,nan,nan
21,54.0,18.61904761904762,nan,0.999307,nan,nan
22,24.0,18.863636363636363,nan,0.999274,nan,nan
23,16.0,18.73913043478261,nan,0.999241,nan,nan
24,16.0,18.625,nan,0.999208,nan,nan
25,12.0,18.36,nan,0.999175,9.5,0.5
26,31.0,18.846153846153847,nan,0.999142,nan,nan
27,38.0,19.555555555555557,nan,0.999109,nan,nan
28,45.0,20.464285714285715,nan,0.999076,nan,nan
29,53.0,21.586206896551722,nan,0.999043,nan,nan
30,37.0,22.1,nan,0.99901,nan,nan
31,13.0,21.806451612903224,nan,0.998977,nan,nan
32,22.0,21.8125,nan,0.998944,nan,nan
33,66.0,23.151515151515152,nan,0.998911,nan,nan
34,18.0,23.0,nan,0.998878,nan,nan
35,13.0,22.714285714285715,nan,0.998845,nan,nan
36,42.0,23.25,nan,0.998812,nan,nan
37,26.0,23.324324324324323,nan,0.998779,nan,nan
38,14.0,23.07894736842105,nan,0.998746,nan,nan
39,28.0,23.205128205128204,nan,0.998713,nan,nan
40,34.0,23.475,nan,0.99868,nan,nan
41,27.0,23.5609756097561,nan,0.998647,nan,nan
42,16.0,23.38095238095238,nan,0.998614,nan,nan
43,33.0,23.6046511627907,nan,0.998581,nan,nan
44,11.0,23.318181818181817,nan,0.998548,nan,nan
45,86.0,24.711111111111112,nan,0.998515,nan,nan
46,14.0,24.47826086956522,nan,0.998482,nan,nan
47,19.0,24.361702127659573,nan,0.998449,nan,nan
48,14.0,24.145833333333332,nan,0.998416,nan,nan
49,26.0,24.183673469387756,nan,0.998383,nan,nan
50,50.0,24.7,nan,0.99835,9.5,0.5
51,11.0,24.431372549019606,nan,0.998317,nan,nan
52,18.0,24.307692307692307,nan,0.998284,nan,nan
53,10.0,24.037735849056602,nan,0.998251,nan,nan
54,10.0,23.77777777777778,nan,0.998218,nan,nan
55,30.0,23.89090909090909,nan,0.998185,nan,nan
56,19.0,23.803571428571427,nan,0.998152,nan,nan
57,17.0,23.68421052631579,nan,0.998119,nan,nan
58,15.0,23.53448275862069,nan,0.998086,nan,nan
59,14.0,23.372881355932204,nan,0.998053,nan,nan
60,21.0,23.333333333333332,nan,0.99802,nan,nan
61,19.0,23.262295081967213,nan,0.997987,nan,nan
62,39.0,23.516129032258064,nan,0.997954,nan,nan
63,22.0,23.49206349206349,nan,0.997921,nan,nan
64,18.0,23.40625,nan,0.997888,nan,nan
65,23.0,23.4,nan,0.997855,nan,nan
66,20.0,23.348484848484848,nan,0.997822,nan,nan
67,12.0,23.17910447761194,nan,0.997789,nan,nan
68,16.0,23.073529411764707,nan,0.997756,nan,nan
69,20.0,23.028985507246375,nan,0.997723,nan,nan
70,16.0,22.928571428571427,nan,0.99769,nan,nan
71,16.0,22.830985915492956,nan,0.997657,nan,nan
72,25.0,22.86111111111111,nan,0.997624,nan,nan
73,23.0,22.863013698630137,nan,0.997591,nan,nan
74,13.0,22.72972972972973,nan,0.997558,nan,nan
75,21.0,22.706666666666667,nan,0.997525,9.5,0.5
76,14.0,22.592105263157894,nan,0.997492,nan,nan
77,13.0,22.467532467532468,nan,0.997459,nan,nan
78,18.0,22.41025641025641,nan,0.997426,nan,nan
79,20.0,22.379746835443036,nan,0.997393,nan,nan
80,15.0,22.2875,nan,0.99736,nan,nan
81,13.0,22.17283950617284,nan,0.997327,nan,nan
82,15.0,22.085365853658537,nan,0.997294,nan,nan
83,39.0,22.289156626506024,nan,0.997261,nan,nan
84,25.0,22.321428571428573,nan,0.997228,nan,nan
85,14.0,22.223529411764705,nan,0.997195,nan,nan
86,20.0,22.197674418604652,nan,0.997162,nan,nan
87,36.0,22.35632183908046,nan,0.997129,nan,nan
88,23.0,22.363636363636363,nan,0.997096,nan,nan
89,11.0,22.235955056179776,nan,0.997063,nan,nan
90,43.0,22.466666666666665,0.2092703095353816,0.99703,nan,nan
91,21.0,22.45054945054945,0.035321898314924466,0.996997,nan,nan
92,20.0,22.42391304347826,0.017101403418928386,0.996964,nan,nan
93,21.0,22.408602150537636,0.019718169678179992,0.996931,nan,nan
94,16.0,22.340425531914892,0.014196260133758187,0.996898,nan,nan
95,30.0,22.42105263157895,0.01843655277043581,0.996865,nan,nan
96,27.0,22.46875,0.013960852399813357,0.996832,nan,nan
97,38.0,22.628865979381445,0.015472391620278358,0.996799,nan,nan
98,14.0,22.540816326530614,0.013657073457060116,0.996766,nan,nan
99,15.0,22.464646464646464,0.01734311431646347,0.996733,nan,nan
100,22.0,22.46,0.01543184172954749,0.9967,14.7,2.4919871588754225
101,24.0,22.59,0.01455368532333523,0.996667,nan,nan
102,18.0,22.59,0.012977124890312552,0.996634,nan,nan
103,30.0,22.79,0.015598446472237508,0.996601,nan,nan
104,13.0,22.77,0.00809930504944462,0.996568,nan,nan
105,22.0,22.79,0.013551873430101708,0.996535,nan,nan
106,13.0,22.66,0.01834186245329105,0.996502,nan,nan
107,18.0,22.66,0.009310013355894221,0.996469,nan,nan
108,16.0,22.65,0.013232149125542492,0.996436,nan,nan
109,16.0,22.67,0.015602098545059562,0.996403,nan,nan
110,26.0,22.7,0.00961590453516692,0.99637,nan,nan
111,40.0,22.92,0.012563871045131236,0.996337,nan,nan
112,33.0,23.13,0.010605258514370882,0.996304,nan,nan
113,12.0,23.1,0.015463529193463424,0.996271,nan,nan
114,11.0,23.03,0.0074823802675713195,0.996238,nan,nan
115,22.0,23.13,0.010999753975986758,0.996205,nan,nan
116,13.0,23.1,0.0072560234783360595,0.996172,nan,nan
117,48.0,23.46,0.011629917314470125,0.996139,nan,nan
118,64.0,23.89,0.012482292091590352,0.996106,nan,nan
119,11.0,23.76,0.01593858494677327,0.996073,nan,nan
120,10.0,23.69,0.008689872012473643,0.99604,nan,nan
121,15.0,23.3,0.006412963087980946,0.996007,nan,nan
122,16.0,23.22,0.01418404362630099,0.995974,nan,nan
123,17.0,23.23,0.015342231072923717,0.995941,nan,nan
124,15.0,23.22,0.00788460139495631,0.995908,nan,nan
125,27.0,23.37,0.01065407622674549,0.995875,9.0,0.7745966692414834
126,20.0,23.26,0.013715568510815502,0.995842,nan,nan
127,26.0,23.14,0.005950099430405176,0.9958089999999999,nan,nan
128,27.0,22.96,0.01238636229256237,0.995776,nan,nan
129,16.0,22.59,0.010357877268688753,0.995743,nan,nan
130,14.0,22.36,0.012690740837050336,0.99571,nan,nan
131,22.0,22.45,0.00774562612853267,0.995677,nan,nan
132,14.0,22.37,0.010420015281332391,0.995644,nan,nan
133,21.0,21.92,0.007277196295382012,0.995611,nan,nan
134,38.0,22.12,0.010653287429656638,0.995578,nan,nan
135,29.0,22.28,0.11220470186451385,0.995545,nan,nan
136,26.0,22.12,0.026811520748126965,0.995512,nan,nan
137,17.0,22.03,0.022776969872853336,0.995479,nan,nan
138,14.0,22.03,0.019541954289057424,0.995446,nan,nan
139,17.0,21.92,0.01951904266196139,0.995413,nan,nan
140,13.0,21.71,0.020699176364220105,0.99538,nan,nan
141,16.0,21.6,0.01841848687035963,0.995347,nan,nan
142,8.0,21.52,0.02809434337541461,0.995314,nan,nan
143,18.0,21.37,0.018361054878267977,0.995281,nan,nan
144,15.0,21.41,0.018060916072378554,0.995248,nan,nan
145,15.0,20.7,0.02146505375082294,0.995215,nan,nan
146,17.0,20.73,0.01576491035794949,0.995182,nan,nan
147,17.0,20.71,0.020833710756372,0.995149,nan,nan
148,17.0,20.74,0.021675154731115875,0.995116,nan,nan
149,30.0,20.78,0.016354255145415664,0.995083,nan,nan
150,25.0,20.53,0.017288998439908027,0.99505,9.5,1.2041594578792296
151,32.0,20.74,0.017743344491464086,0.995017,nan,nan
152,15.0,20.71,0.02082156768689553,0.994984,nan,nan
153,12.0,20.73,0.015496528047757844,0.994951,nan,nan
154,34.0,20.97,0.01698085748563137,0.994918,nan,nan
155,19.0,20.86,0.01371063994194724,0.994885,nan,nan
156,14.0,20.81,0.01876121267144169,0.994852,nan,nan
157,18.0,20.82,0.01742631419458323,0.994819,nan,nan
158,17.0,20.84,0.015646019491695744,0.994786,nan,nan
159,15.0,20.85,0.019223019108176233,0.994753,nan,nan
160,15.0,20.79,0.015148483139152328,0.99472,nan,nan
161,22.0,20.82,0.013560471453026614,0.994687,nan,nan
162,12.0,20.55,0.01423568930476904,0.994654,nan,nan
163,18.0,20.51,0.013073879009526636,0.994621,nan,nan
164,14.0,20.47,0.014948574061106359,0.994588,nan,nan
165,12.0,20.36,0.0188662635628134,0.994555,nan,nan
166,16.0,20.32,0.01298048536409624,0.994522,nan,nan
167,15.0,20.35,0.014807458284000556,0.994489,nan,nan
168,16.0,20.35,0.01469814806478098,0.994456,nan,nan
169,21.0,20.36,0.014653149083079327,0.994423,nan,nan
170,12.0,20.32,0.01644322481782486,0.99439,nan,nan
171,30.0,20.46,0.01408423671188454,0.994357,nan,nan
172,58.0,20.79,0.014965983910550332,0.994324,nan,nan
173,19.0,20.75,0.0158072910271585,0.994291,nan,nan
174,10.0,20.72,0.021009948942810296,0.994258,nan,nan
175,10.0,20.61,0.01535362689755857,0.994225,13.1,1.6401219466856727
176,13.0,20.6,0.01193374739243434,0.994192,nan,nan
177,14.0,20.61,0.013006977919888283,0.994159,nan,nan
178,12.0,20.55,0.013575748598668724,0.994126,nan,nan
179,20.0,20.55,0.016153078572824598,0.994093,nan,nan
180,31.0,20.71,0.015022346261708487,0.9940599999999999,nan,nan
181,13.0,20.71,0.014114088737047635,0.994027,nan,nan
182,40.0,20.96,0.014179619122296571,0.993994,nan,nan
183,14.0,20.71,0.01410162721627525,0.993961,nan,nan
184,13.0,20.59,0.016250882691775378,0.993928,nan,nan
185,14.0,20.59,0.01583334444356816,0.993895,nan,nan
186,21.0,20.6,0.01650121539742464,0.993862,nan,nan
187,33.0,20.57,0.040165086650769365,0.993829,nan,nan
188,16.0,20.5,0.12461459694895893,0.993796,nan,nan
189,31.0,20.7,0.05520747968506429,0.993763,nan,nan
190,14.0,20.41,0.03815793512122972,0.99373,nan,nan
191,14.0,20.34,0.041246335820427964,0.993697,nan,nan
192,18.0,20.32,0.033194401818845004,0.993664,nan,nan
193,19.0,20.3,0.039726705633495986,0.993631,nan,nan
194,32.0,20.46,0.03875538191641681,0.993598,nan,nan
195,26.0,20.42,0.03575537369873088,0.993565,nan,nan
196,11.0,20.26,0.030042980374260383,0.993532,nan,nan
197,12.0,20.0,0.025431484760095675,0.993499,nan,nan
198,20.0,20.06,0.03488150439225137,0.993466,nan,nan
199,22.0,20.13,0.035045089475302535,0.993433,nan,nan
200,38.0,20.29,0.034999373375046015,0.9934,23.0,5.830951894845301
201,38.0,20.43,0.033045905103024686,0.993367,nan,nan
202,9.0,20.34,0.04087517658869425,0.993334,nan,nan
203,17.0,20.21,0.031002794228055897,0.993301,nan,nan
204,15.0,20.23,0.02973964661359787,0.993268,nan,nan
205,20.0,20.21,0.0315838941372931,0.993235,nan,nan
206,25.0,20.33,0.03066591454669833,0.993202,nan,nan
207,52.0,20.67,0.02830795832694723,0.993169,nan,nan
208,35.0,20.86,0.027370860294571944,0.993136,nan,nan
209,18.0,20.88,0.027219681095124945,0.993103,nan,nan
210,18.0,20.8,0.03332857937655515,0.99307,nan,nan
211,60.0,21.0,0.026810427840488652,0.993037,nan,nan
212,10.0,20.77,0.04078128999099136,0.993004,nan,nan
213,16.0,20.81,0.03301821555942297,0.992971,nan,nan
214,20.0,20.9,0.038294010097160935,0.992938,nan,nan
215,15.0,20.83,0.032766983409722644,0.992905,nan,nan
216,14.0,20.84,0.03052701787757022,0.992872,nan,nan
217,23.0,20.59,0.03151062345537155,0.992839,nan,nan
218,18.0,20.13,0.027614859501934715,0.992806,nan,nan
219,19.0,20.21,0.02666690435848738,0.992773,nan,nan
220,33.0,20.44,0.021915708936638002,0.99274,nan,nan
221,26.0,20.55,0.02908486697392968,0.992707,nan,nan
222,11.0,20.5,0.021761381236666984,0.992674,nan,nan
223,24.0,20.57,0.025898664413640898,0.992641,nan,nan
224,28.0,20.7,0.024466735078021884,0.992608,nan,nan
225,11.0,20.54,0.030950161543759434,0.992575,10.9,1.3
226,16.0,20.5,0.021561783913057297,0.992542,nan,nan
227,27.0,20.51,0.025373157596698514,0.992509,nan,nan
228,12.0,20.36,0.02852821412185828,0.992476,nan,nan
229,15.0,20.35,0.028836330492049457,0.992443,nan,nan
230,36.0,20.57,0.03130355540714744,0.99241,nan,nan
231,21.0,20.56,0.029999700153157824,0.992377,nan,nan
232,11.0,20.53,0.032980224964293564,0.992344,nan,nan
233,38.0,20.7,0.10623455170149866,0.992311,nan,nan
234,33.0,20.65,0.049713204981702744,0.992278,nan,nan
235,16.0,20.52,0.043501005216967314,0.992245,nan,nan
236,20.0,20.46,0.0638386219739914,0.992212,nan,nan
237,18.0,20.47,0.05227959124992291,0.992179,nan,nan
238,33.0,20.66,0.05315266741496144,0.992146,nan,nan
239,52.0,21.01,0.04772364813834429,0.992113,nan,nan
240,28.0,21.16,0.0506834222802094,0.99208,nan,nan
241,18.0,21.18,0.046290047828935914,0.992047,nan,nan
242,25.0,21.35,0.04502838052809238,0.992014,nan,nan
243,16.0,21.33,0.0518118292093277,0.991981,nan,nan
244,17.0,21.35,0.043750968323472667,0.991948,nan,nan
245,32.0,21.52,0.039393359824316576,0.991915,nan,nan
246,16.0,21.51,0.04007012047804892,0.991882,nan,nan
247,9.0,21.43,0.04401505790236923,0.991849,nan,nan
248,31.0,21.57,0.047439456286449584,0.991816,nan,nan
249,18.0,21.45,0.044180220613876976,0.991783,nan,nan
250,25.0,21.45,0.0411777088418603,0.99175,46.7,18.210161998181125
251,12.0,21.25,0.03908647511464854,0.991717,nan,nan
252,17.0,21.27,0.041179476689328164,0.991684,nan,nan
253,14.0,21.29,0.048337763507983515,0.991651,nan,nan
254,42.0,21.37,0.04398304283885019,0.991618,nan,nan
255,12.0,21.3,0.04986768068435291,0.991585,nan,nan
256,34.0,21.5,0.0452552988906117,0.991552,nan,nan
