episode,reward,avg100,loss,epsilon,eval_mean,eval_std
1,11.0,11.0,nan,0.999755,9.5,0.5
2,18.0,14.5,nan,0.99951,nan,nan
3,10.0,13.0,nan,0.999265,nan,nan
4,15.0,13.5,nan,0.99902,nan,nan
5,20.0,14.8,nan,0.998775,nan,nan
6,37.0,18.5,nan,0.99853,nan,nan
7,14.0,17.857142857142858,nan,0.998285,nan,nan
8,28.0,19.125,nan,0.99804,nan,nan
9,13.0,18.444444444444443,nan,0.997795,nan,nan
10,30.0,19.6,nan,0.99755,nan,nan
11,24.0,20.0,nan,0.997305,nan,nan
12,11.0,19.25,nan,0.99706,nan,nan
13,19.0,19.23076923076923,nan,0.996815,nan,nan
14,22.0,19.428571428571427,nan,0.99657,nan,nan
15,17.0,19.266666666666666,nan,0.996325,nan,nan
16,12.0,18.8125,nan,0.99608,nan,nan
17,20.0,18.88235294117647,nan,0.995835,nan,nan
18,17.0,18.77777777777778,nan,0.99559,nan,nan
19,45.0,20.157894736842106,nan,0.995345,nan,nan
20,40.0,21.15,nan,0.9951,nan,nan
21,14.0,20.80952380952381,nan,0.994855,nan,nan
22,23.0,20.90909090909091,nan,0.99461,nan,nan
23,18.0,20.782608695652176,nan,0.994365,nan,nan
24,8.0,20.25,nan,0.99412,nan,nan
25,13.0,19.96,nan,0.993875,9.5,0.5
26,13.0,19.692307692307693,nan,0.99363,nan,nan
27,12.0,19.40740740740741,nan,0.993385,nan,nan
28,12.0,19.142857142857142,nan,0.99314,nan,nan
29,12.0,18.896551724137932,nan,0.992895,nan,nan
30,11.0,18.633333333333333,nan,0.99265,nan,nan
31,18.0,18.612903225806452,nan,0.992405,nan,nan
32,14.0,18.46875,nan,0.99216,nan,nan
33,19.0,18.484848484848484,nan,0.991915,nan,nan
34,15.0,18.38235294117647,nan,0.99167,nan,nan
35,38.0,18.942857142857143,nan,0.991425,nan,nan
36,20.0,18.97222222222222,nan,0.99118,nan,nan
37,40.0,19.54054054054054,nan,0.990935,nan,nan
38,57.0,20.526315789473685,nan,0.99069,nan,nan
39,20.0,20.512820512820515,nan,0.990445,nan,nan
40,12.0,20.3,nan,0.9902,nan,nan
41,12.0,20.097560975609756,nan,0.989955,nan,nan
42,17.0,20.023809523809526,nan,0.98971,nan,nan
43,15.0,19.906976744186046,nan,0.989465,nan,nan
44,14.0,19.772727272727273,nan,0.98922,nan,nan
45,13.0,19.622222222222224,nan,0.988975,nan,nan
46,14.0,19.5,nan,0.98873,nan,nan
47,18.0,19.46808510638298,nan,0.988485,nan,nan
48,21.0,19.5,nan,0.98824,nan,nan
49,10.0,19.306122448979593,nan,0.987995,nan,nan
50,12.0,19.16,nan,0.98775,9.7,0.6403124237432849
51,24.0,19.254901960784313,nan,0.987505,nan,nan
52,24.0,19.346153846153847,0.5925939168248858,0.98726,nan,nan
53,12.0,19.20754716981132,0.45748905340830487,0.987015,nan,nan
54,31.0,19.425925925925927,0.2640348634412212,0.98677,nan,nan
55,15.0,19.345454545454544,0.15698000888029734,0.986525,nan,nan
56,36.0,19.642857142857142,0.12318842195802265,0.98628,nan,nan
57,16.0,19.57894736842105,0.1068463702686131,0.986035,nan,nan
58,9.0,19.396551724137932,0.10887159489923054,0.9857899999999999,nan,nan
59,10.0,19.23728813559322,0.1025901421904564,0.985545,nan,nan
60,12.0,19.116666666666667,0.09380876893798511,0.9853,nan,nan
61,24.0,19.19672131147541,0.09212689474225044,0.985055,nan,nan
62,35.0,19.451612903225808,0.08212581106594631,0.98481,nan,nan
63,9.0,19.285714285714285,0.07936833550532658,0.984565,nan,nan
64,11.0,19.15625,0.07255837964740666,0.98432,nan,nan
65,13.0,19.06153846153846,0.08298454347711343,0.984075,nan,nan
66,13.0,18.96969696969697,0.08735974534199788,0.98383,nan,nan
67,26.0,19.074626865671643,0.08606895259939708,0.983585,nan,nan
68,11.0,18.955882352941178,0.07008801502260295,0.98334,nan,nan
69,18.0,18.942028985507246,0.08081960264179441,0.983095,nan,nan
70,12.0,18.84285714285714,0.07329901835570733,0.98285,nan,nan
71,18.0,18.830985915492956,0.07968884478840563,0.982605,nan,nan
72,10.0,18.708333333333332,0.09976911470293999,0.98236,nan,nan
73,14.0,18.643835616438356,0.09358212378408227,0.982115,nan,nan
74,13.0,18.56756756756757,0.09121949025071584,0.98187,nan,nan
75,10.0,18.453333333333333,0.07633568923920393,0.981625,9.1,0.7000000000000001
76,17.0,18.43421052631579,0.0864020408514668,0.98138,nan,nan
77,10.0,18.324675324675326,0.1050021830946207,0.981135,nan,nan
78,14.0,18.26923076923077,0.10710436744349343,0.98089,nan,nan
79,16.0,18.240506329113924,0.11050767777487636,0.980645,nan,nan
80,12.0,18.1625,0.09772525758792956,0.9804,nan,nan
81,12.0,18.08641975308642,0.11456856752435367,0.980155,nan,nan
82,9.0,17.975609756097562,0.11390698080261548,0.97991,nan,nan
83,9.0,17.867469879518072,0.08174586296081543,0.979665,nan,nan
84,12.0,17.797619047619047,0.12051774437228839,0.97942,nan,nan
85,16.0,17.776470588235295,0.124071633676067,0.979175,nan,nan
86,11.0,17.697674418604652,0.12008354135534981,0.97893,nan,nan
87,17.0,17.689655172413794,0.11871895982938654,0.978685,nan,nan
88,11.0,17.613636363636363,0.13329764861952176,0.97844,nan,nan
89,11.0,17.53932584269663,0.12802984260699965,0.978195,nan,nan
90,11.0,17.466666666666665,0.14173753220926633,0.97795,nan,nan
91,17.0,17.46153846153846,0.10934901237487793,0.977705,nan,nan
92,15.0,17.434782608695652,0.1301448290546735,0.97746,nan,nan
93,14.0,17.397849462365592,0.12677257454821042,0.977215,nan,nan
94,15.0,17.372340425531913,0.13904190808534622,0.97697,nan,nan
95,13.0,17.326315789473686,0.12871420612702003,0.976725,nan,nan
96,11.0,17.260416666666668,0.12986236810684204,0.97648,nan,nan
97,10.0,17.185567010309278,0.1381875030696392,0.976235,nan,nan
98,13.0,17.142857142857142,0.12865710688325074,0.97599,nan,nan
99,9.0,17.060606060606062,0.1436010557744238,0.975745,nan,nan
100,13.0,17.02,0.14821979575432265,0.9755,9.5,0.5
101,9.0,17.0,0.1949821776813931,0.975255,nan,nan
102,16.0,16.98,0.14836886152625084,0.97501,nan,nan
103,28.0,17.16,0.14558934792876244,0.974765,nan,nan
104,9.0,17.1,0.13835356881221136,0.97452,nan,nan
105,17.0,17.07,0.14031696319580078,0.974275,nan,nan
106,37.0,17.07,0.15110665730930664,0.97403,nan,nan
107,13.0,17.06,0.15057965425344613,0.973785,nan,nan
108,16.0,16.94,0.15577006386592984,0.97354,nan,nan
109,12.0,16.93,0.13443305591742197,0.973295,nan,nan
110,14.0,16.77,0.14566380849906377,0.97305,nan,nan
111,10.0,16.63,0.168773090839386,0.972805,nan,nan
112,9.0,16.61,0.1503311801287863,0.97256,nan,nan
113,11.0,16.53,0.15407769991592926,0.972315,nan,nan
114,12.0,16.43,0.1924578466763099,0.97207,nan,nan
115,14.0,16.4,0.14825339296034404,0.971825,nan,nan
116,11.0,16.39,0.14495677670294588,0.97158,nan,nan
117,11.0,16.3,0.16603366488760168,0.971335,nan,nan
118,9.0,16.22,0.14316701806253856,0.97109,nan,nan
119,10.0,15.87,0.11662242263555526,0.970845,nan,nan
120,10.0,15.57,0.14161461293697358,0.9706,nan,nan
121,10.0,15.53,0.14634053334593772,0.970355,nan,nan
122,19.0,15.49,0.16297067603782603,0.97011,nan,nan
123,16.0,15.47,0.1495265276171267,0.969865,nan,nan
124,12.0,15.51,0.14380519775052866,0.96962,nan,nan
125,14.0,15.52,0.15757846938712256,0.969375,9.5,0.5
126,19.0,15.58,0.15309199494750877,0.96913,nan,nan
