epoch,train_loss,test_acc,best_acc,lr
1,0.40644275744756064,0.9418,0.9418,0.0009045084971874737
2,0.16263590111732482,0.9464,0.9464,0.0006545084971874737
3,0.11027571475108465,0.9553,0.9553,0.00034549150281252633
4,0.07764685849348704,0.9596,0.9596,9.549150281252633e-05
5,0.056001953156789144,0.9592,0.9596,0.0
