episode,reward,avg100,loss,epsilon,eval_mean,eval_std
1,11.0,11.0,nan,0.9998366666666667,9.5,0.5
2,18.0,14.5,nan,0.9996733333333333,nan,nan
3,10.0,13.0,nan,0.99951,nan,nan
4,15.0,13.5,nan,0.9993466666666667,nan,nan
5,20.0,14.8,nan,0.9991833333333333,nan,nan
6,37.0,18.5,nan,0.99902,nan,nan
7,14.0,17.857142857142858,nan,0.9988566666666666,nan,nan
8,28.0,19.125,nan,0.9986933333333333,nan,nan
9,12.0,18.333333333333332,nan,0.99853,nan,nan
10,46.0,21.1,nan,0.9983666666666666,nan,nan
11,12.0,20.272727272727273,nan,0.9982033333333333,nan,nan
12,9.0,19.333333333333332,nan,0.99804,nan,nan
13,23.0,19.615384615384617,nan,0.9978766666666666,nan,nan
14,16.0,19.357142857142858,nan,0.9977133333333333,nan,nan
15,13.0,18.933333333333334,nan,0.99755,nan,nan
16,11.0,18.4375,nan,0.9973866666666666,nan,nan
17,10.0,17.941176470588236,nan,0.9972233333333334,nan,nan
18,18.0,17.944444444444443,nan,0.99706,nan,nan
19,25.0,18.31578947368421,nan,0.9968966666666667,nan,nan
20,22.0,18.5,nan,0.9967333333333334,nan,nan
21,11.0,18.142857142857142,nan,0.99657,nan,nan
22,22.0,18.318181818181817,nan,0.9964066666666667,nan,nan
23,11.0,18.0,nan,0.9962433333333334,nan,nan
24,16.0,17.916666666666668,nan,0.99608,nan,nan
25,30.0,18.4,nan,0.9959166666666667,9.5,0.5
26,20.0,18.46153846153846,nan,0.9957533333333334,nan,nan
27,12.0,18.22222222222222,nan,0.99559,nan,nan
28,22.0,18.357142857142858,nan,0.9954266666666667,nan,nan
29,12.0,18.137931034482758,nan,0.9952633333333334,nan,nan
30,20.0,18.2,nan,0.9951,nan,nan
31,19.0,18.225806451612904,nan,0.9949366666666667,nan,nan
32,15.0,18.125,nan,0.9947733333333333,nan,nan
33,34.0,18.606060606060606,nan,0.99461,nan,nan
34,12.0,18.41176470588235,nan,0.9944466666666667,nan,nan
35,22.0,18.514285714285716,nan,0.9942833333333333,nan,nan
36,18.0,18.5,nan,0.99412,nan,nan
37,15.0,18.405405405405407,nan,0.9939566666666667,nan,nan
38,10.0,18.18421052631579,nan,0.9937933333333333,nan,nan
39,10.0,17.974358974358974,nan,0.99363,nan,nan
40,22.0,18.075,nan,0.9934666666666667,nan,nan
41,17.0,18.048780487804876,nan,0.9933033333333333,nan,nan
42,25.0,18.214285714285715,nan,0.99314,nan,nan
43,18.0,18.209302325581394,nan,0.9929766666666666,nan,nan
44,14.0,18.113636363636363,nan,0.9928133333333333,nan,nan
45,16.0,18.066666666666666,nan,0.99265,nan,nan
46,18.0,18.065217391304348,nan,0.9924866666666666,nan,nan
47,14.0,17.97872340425532,nan,0.9923233333333333,nan,nan
48,15.0,17.916666666666668,nan,0.99216,nan,nan
49,13.0,17.816326530612244,nan,0.9919966666666666,nan,nan
50,16.0,17.78,nan,0.9918333333333333,9.5,0.5
51,25.0,17.92156862745098,nan,0.99167,nan,nan
52,12.0,17.807692307692307,nan,0.9915066666666666,nan,nan
53,18.0,17.81132075471698,nan,0.9913433333333334,nan,nan
54,11.0,17.685185185185187,nan,0.99118,nan,nan
55,34.0,17.98181818181818,nan,0.9910166666666667,nan,nan
56,15.0,17.928571428571427,0.5309949815273285,0.9908533333333334,nan,nan
57,13.0,17.842105263157894,0.10447248236204569,0.99069,nan,nan
58,12.0,17.74137931034483,0.020600521626571815,0.9905266666666667,nan,nan
59,14.0,17.677966101694917,0.010415339742654137,0.9903633333333334,nan,nan
60,28.0,17.85,0.007673725402647895,0.9902,nan,nan
61,11.0,17.737704918032787,0.006784762721508741,0.9900366666666667,nan,nan
62,10.0,17.612903225806452,0.007186321308836341,0.9898733333333334,nan,nan
63,26.0,17.746031746031747,0.009191338313170351,0.98971,nan,nan
64,17.0,17.734375,0.011725731604896924,0.9895466666666667,nan,nan
65,10.0,17.615384615384617,0.009932930348441005,0.9893833333333333,nan,nan
66,48.0,18.075757575757574,0.012218494404805824,0.98922,nan,nan
67,37.0,18.35820895522388,0.0972991027693088,0.9890566666666667,nan,nan
68,12.0,18.264705882352942,0.04675781261175871,0.9888933333333333,nan,nan
69,26.0,18.3768115942029,0.04543490249377031,0.98873,nan,nan
70,13.0,18.3,0.04499412901126421,0.9885666666666667,nan,nan
71,26.0,18.408450704225352,0.04565826151520014,0.9884033333333333,nan,nan
72,17.0,18.38888888888889,0.045178296373170966,0.98824,nan,nan
73,65.0,19.027397260273972,0.04645759784258329,0.9880766666666667,nan,nan
74,32.0,19.2027027027027,0.14295254601165652,0.9879133333333333,nan,nan
75,17.0,19.173333333333332,0.10191779189250048,0.98775,21.3,6.928924880528004
76,13.0,19.092105263157894,0.10577707164562665,0.9875866666666666,nan,nan
77,22.0,19.12987012987013,0.11864287897267124,0.9874233333333333,nan,nan
78,39.0,19.384615384615383,0.12312852037258637,0.98726,nan,nan
79,18.0,19.367088607594937,0.11555588783489333,0.9870966666666666,nan,nan
80,25.0,19.4375,0.11040849715471268,0.9869333333333333,nan,nan
81,26.0,19.51851851851852,0.1336141016620856,0.98677,nan,nan
82,63.0,20.048780487804876,0.19211161763422072,0.9866066666666666,nan,nan
83,47.0,20.373493975903614,0.18372231658468854,0.9864433333333333,nan,nan
84,19.0,20.357142857142858,0.1580885252670238,0.98628,nan,nan
85,23.0,20.388235294117646,0.17721808701753616,0.9861166666666666,nan,nan
86,51.0,20.74418604651163,0.17102775839613935,0.9859533333333333,nan,nan
87,44.0,21.011494252873565,0.2350434555926106,0.9857899999999999,nan,nan
88,14.0,20.931818181818183,0.22097481042146683,0.9856266666666667,nan,nan
89,18.0,20.89887640449438,0.22157902104987037,0.9854633333333334,nan,nan
90,18.0,20.866666666666667,0.1879067611363199,0.9853,nan,nan
91,24.0,20.9010989010989,0.20506122894585133,0.9851366666666667,nan,nan
92,47.0,21.184782608695652,0.2126692481180455,0.9849733333333334,nan,nan
93,21.0,21.182795698924732,0.19135996344543638,0.98481,nan,nan
94,44.0,21.425531914893618,0.27747326564382424,0.9846466666666667,nan,nan
95,35.0,21.568421052631578,0.29262566076857705,0.9844833333333334,nan,nan
96,41.0,21.770833333333332,0.25366795099363093,0.98432,nan,nan
97,25.0,21.804123711340207,0.25868920803070067,0.9841566666666667,nan,nan
98,16.0,21.744897959183675,0.2884667171165347,0.9839933333333334,nan,nan
99,24.0,21.767676767676768,0.2954904455691576,0.98383,nan,nan
100,45.0,22.0,0.3102926098638111,0.9836666666666667,63.1,14.54957044039445
101,16.0,22.05,0.4620643761008978,0.9835033333333333,nan,nan
102,32.0,22.19,0.41213649325072765,0.98334,nan,nan
103,50.0,22.59,0.3261730539798737,0.9831766666666667,nan,nan
104,25.0,22.69,0.3598275417089462,0.9830133333333333,nan,nan
105,50.0,22.99,0.31426475673913956,0.98285,nan,nan
106,83.0,23.45,0.35592422409948093,0.9826866666666667,nan,nan
107,18.0,23.49,0.36610737277401817,0.9825233333333333,nan,nan
108,25.0,23.46,0.3300301885604858,0.98236,nan,nan
109,14.0,23.48,0.31009705684014727,0.9821966666666667,nan,nan
110,33.0,23.35,0.3312177468429912,0.9820333333333333,nan,nan
111,22.0,23.45,0.30170650306073105,0.98187,nan,nan
112,75.0,24.11,0.3985260391235352,0.9817066666666666,nan,nan
113,32.0,24.2,0.3810301856137812,0.9815433333333333,nan,nan
114,41.0,24.45,0.3497594162458327,0.98138,nan,nan
115,72.0,25.04,0.37270448584523463,0.9812166666666666,nan,nan
116,59.0,25.52,0.4928780258712122,0.9810533333333333,nan,nan
117,59.0,26.01,0.43177789272898337,0.98089,nan,nan
118,19.0,26.02,0.3708053670431438,0.9807266666666666,nan,nan
119,74.0,26.51,0.38575185795088074,0.9805633333333333,nan,nan
120,21.0,26.5,0.5902988513310751,0.9804,nan,nan
121,22.0,26.61,0.5568757416172461,0.9802366666666666,nan,nan
122,12.0,26.51,0.5295467525720596,0.9800733333333334,nan,nan
123,72.0,27.12,0.5205227577437957,0.97991,nan,nan
124,11.0,27.07,0.4634954116561196,0.9797466666666667,nan,nan
125,29.0,27.06,0.549490959479891,0.9795833333333334,119.1,27.398722597960656
126,26.0,27.12,0.5514548753316586,0.97942,nan,nan
127,81.0,27.81,0.5650447073542042,0.9792566666666667,nan,nan
128,61.0,28.2,0.5234598116796525,0.9790933333333334,nan,nan
129,89.0,28.97,0.579871718468291,0.97893,nan,nan
130,16.0,28.93,0.5603526253253222,0.9787666666666667,nan,nan
131,142.0,30.16,0.6230863078799046,0.9786033333333334,nan,nan
132,142.0,31.43,0.6527072711729668,0.97844,nan,nan
